ts,engine,agent,member_slot,domain,task,tokens_in,tokens_out,duration,tools,exact_or_estimate,prompt_ref,session_id
2026-06-26 19:39Z,claude,direct,AI,ops,(트랜스크립트 없음),0,0,—,—,estimate,—,
2026-06-27 06:10Z,claude,orchestrator,D,research,리서치 도메인 분해 Opus 2패스 + 딥프롬프트 19종 생성,~30000,~540000,~30m,"Agent×10(opus),Read,Write,Edit,Bash",estimate,R5,
2026-06-27 11:48Z,codex,gpt-5.3-codex-spark,D,research,딥리서치 자동위임 D9·D10·D11(web_search·effort high),—,—,running,"codex-companion task×3",estimate,R7,
2026-06-27 11:48Z,claude,orchestrator,D,ops,엔진 배정(Perplexity5/Gemini11/Codex3)+실행 대시보드,~20000,~30000,~15m,"Bash,Skill,Write,Edit",estimate,R7,
2026-06-30 17:40Z,chatgpt,gpt-5.5-xhigh,D,research,D3e JB 총정리본 회수,—,—,—,deep-research,estimate,R30,
2026-06-30 08:05Z,claude,direct,AI,ops,(자동 기록),10315317,1602697,84h11m,"Edit×100, Bash×99, Read×38, Write×22, Agent×21, Skill×2",estimate,—,legacy-20260630
2026-06-30 18:02Z,claude,direct,AI,ops,(자동 기록),16909523,5148276,435h31m,"Bash×506, Edit×296, Read×231, Write×95, Agent×65, TaskUpdate×55, AskUserQuestion×33, TaskCreate×32, ToolSearch×18, ExitPlanMode×7, SendMessage×5, WebFetch×5, mcp__claude-in-chrome__tabs_context_mcp×3, Skill×3, mcp__claude-in-chrome__computer×3, mcp__claude_ai_Excalidraw__read_me×1, mcp__claude_ai_Excalidraw__create_view×1, mcp__claude_ai_Excalidraw__export_to_excalidraw×1, mcp__claude-in-chrome__navigate×1, mcp__claude-in-chrome__get_page_text×1, TaskList×1",estimate,—,6099ced2-63be-493c-be92-ecf2c95bf3d5
2026-06-30 18:02Z,codex,via-claude,AI,ops,(Claude→Codex 위임 ×6),—,—,—,codex:codex-rescue×6,estimate,—,6099ced2-63be-493c-be92-ecf2c95bf3d5#codex
2026-06-30 17:03Z,claude,direct,AI,ops,(자동 기록),265675,74393,13m,"Bash×6, Read×4, Edit×2, Write×1",estimate,—,bc863432-0ab2-4a42-95d8-0d46f7c4c8b4
2026-07-03 07:01Z,claude,direct,AI,ops,(자동 기록),2448535,869716,62h2m,"Bash×57, Edit×43, Read×28, Write×12, Agent×11, mcp__perplexity__pplx_smart_query×5, WebSearch×3, ToolSearch×2, WebFetch×2, AskUserQuestion×2, mcp__perplexity__pplx_usage×1, Skill×1",estimate,—,a92df88c-6d89-4878-9ce5-5a6ab95c3c25
2026-07-03 14:40Z,claude,direct,AI,ops,(자동 기록),10396165,2142583,68h35m,"Bash×185, Edit×114, Read×76, Write×25, Agent×24, mcp__claude_ai_Figma__use_figma×13, mcp__claude_ai_Figma__get_screenshot×7, AskUserQuestion×5, ToolSearch×3, WebSearch×2, WebFetch×2, ExitPlanMode×1, mcp__claude_ai_Figma__get_metadata×1, Skill×1",estimate,—,604beb26-4210-4956-b694-d2b8b6ecf7bb
2026-07-03 14:40Z,codex,via-claude,AI,ops,(Claude→Codex 위임 ×16),—,—,—,codex:codex-rescue×16,estimate,—,604beb26-4210-4956-b694-d2b8b6ecf7bb#codex
